Subject,Number,Name,Description,Credit Hours
ACC,1050,Survey of Accounting,"An overview of financial and managerial accounting. The course focuses on the analysis of financial data with an emphasis on accounting issues faced by small businesses such as business planning, budgeting, and performance evaluation. This is the ideal course for the business minor and for non-business majors interested in understanding the role of accounting in the business world.",3
ACC,1530,1549 - Selected Topics,,1-4
ACC,2100,Principles of Accounting I,"The initial course in the theory and practice of financial accounting. Topics emphasized include the preparation, reporting, and analysis of financial data.",3
ACC,2110,Principles of Accounting II,"A course dealing with the concepts and development of accounting data for decision making. Topics emphasized include manufacturing cost systems, cost-volume-profit analysis, and budgeting concepts.",3
ACC,2500,Independent Study,,1-4
ACC,2530,2549 - Selected Topics,,1-4
ACC,3000,Accounting Major and Career Readiness,"An introduction to the accounting major and the various careers in the accounting field. This course provides students with a broad overview of the various resources available within the accounting department to help students succeed in the major and the variety of career paths available to students with an accounting major. Topics discussed will include department specific programs for majors, professional certifications and organizations in the accounting field, careers in public accounting, careers in managerial accounting, careers in non-profit and governmental accounting, and accounting specific career readiness tips.",1
ACC,3100,Intermediate Accounting I,"The financial accounting environment and development of accounting theory. Integration of the conceptual and computational aspects of income measurement, valuation, and reporting problems associated with the accounting cycle, statement preparation and asset accounting.",3
ACC,3110,Intermediate Accounting II,"A continuation of ACC 3100 . Integration of the conceptual and computational aspects of asset, liability and stockholders’ equity accounting.",3
ACC,3150,Financial Statement Preparation and Analysis,A study of the concepts and current methods used to prepare financial statements. Important off-balance sheet items are examined. This course also examines several methods of analysis of financial statements. Computer applications are covered.,3
ACC,3160,Introduction to Individual Taxation,"Preparation of state and federal income tax returns. Topics emphasized include gross income, adjusted gross income, deductions and exemptions, capital gains and losses, computation of tax liability, audit of tax returns, tax questions, the IRS and the courts.",1
ACC,3200,Cost Accounting,"Introduction to cost accounting, definitions and objectives. Topics emphasized include cost-volume-profit relationships, job-order accounting, budgeting, systems design and human motivation, flexible budgets, standard costs, contribution approach to decisions, cost allocation, joint product and by-product costing, process costing.",3
